"TimeOfEntry","departureAirport_city","departureAirport_iata","arrivalAirport_city","arrivalAirport_iata","arrivalTimeZulu","arrivalTimeLocal","arrivalTimeDayOfWeek","flightNumber"
"2024-09-16T04:25:38.088Z","Hanover","HAJ","Amsterdam","AMS","2024-09-17T04:55:00.000Z","17/09/2024, 06:55:00",2,"KL1786"
"2024-09-16T04:25:38.090Z","Billund","BLL","Amsterdam","AMS","2024-09-17T05:10:00.000Z","17/09/2024, 07:10:00",2,"KL1290"
"2024-09-16T04:25:38.085Z","Hamburg","HAM","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"KL1750"
"2024-09-16T04:25:38.089Z","Nuremberg","NUE","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"ZQ1838"
"2024-09-16T04:25:38.084Z","Aalborg","AAL","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"ZQ1282"
"2024-09-16T04:25:38.086Z","Newark","EWR","Amsterdam","AMS","2024-09-17T05:15:00.000Z","17/09/2024, 07:15:00",2,"UA70"
"2024-09-16T04:25:54.173Z","Dar es Salaam","DAR","Amsterdam","AMS","2024-09-17T05:45:00.000Z","17/09/2024, 07:45:00",2,"KL569"
"2024-09-16T04:25:54.177Z","Wrocław","WRO","Amsterdam","AMS","2024-09-17T05:45:00.000Z","17/09/2024, 07:45:00",2,"KL1336"
"2024-09-16T04:25:54.174Z","Saint Exupery","LYS","Amsterdam","AMS","2024-09-17T05:40:00.000Z","17/09/2024, 07:40:00",2,"A51794"
"2024-09-16T04:25:54.175Z","Mumbai","BOM","Amsterdam","AMS","2024-09-17T05:50:00.000Z","17/09/2024, 07:50:00",2,"KL878"
"2024-09-16T04:25:54.174Z","Bergen","BGO","Amsterdam","AMS","2024-09-17T05:40:00.000Z","17/09/2024, 07:40:00",2,"KL1162"
"2024-09-16T04:25:54.174Z","Houston","IAH","Amsterdam","AMS","2024-09-17T05:55:00.000Z","17/09/2024, 07:55:00",2,"KL662"
"2024-09-16T04:25:54.176Z","Kristiansand","KRS","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL1184"
"2024-09-16T04:25:54.178Z","Montreal","YUL","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL672"
"2024-09-16T04:25:54.177Z","Landvetter","GOT","Amsterdam","AMS","2024-09-17T05:40:00.000Z","17/09/2024, 07:40:00",2,"KL1228"
"2024-09-16T04:25:54.177Z","Chicago","ORD","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL612"
"2024-09-16T04:25:54.179Z","Prague","PRG","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL1350"
"2024-09-16T04:25:54.178Z","Zanderij","PBM","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL714"
"2024-09-16T04:25:54.177Z","Venice (Venezia)","VCE","Amsterdam","AMS","2024-09-17T05:50:00.000Z","17/09/2024, 07:50:00",2,"KL1628"
"2024-09-16T04:25:54.178Z","Washington","IAD","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"UA946"
"2024-09-16T04:25:54.180Z","Accra","ACC","Amsterdam","AMS","2024-09-17T05:35:00.000Z","17/09/2024, 07:35:00",2,"KL590"
"2024-09-16T04:26:10.189Z","Athens","ATH","Amsterdam","AMS","2024-09-17T06:15:00.000Z","17/09/2024, 08:15:00",2,"KL1952"
"2024-09-16T04:26:10.193Z","Genoa (Genova)","GOA","Amsterdam","AMS","2024-09-17T06:10:00.000Z","17/09/2024, 08:10:00",2,"KL1642"
"2024-09-16T04:26:10.195Z","Warsaw","WAW","Amsterdam","AMS","2024-09-17T06:00:00.000Z","17/09/2024, 08:00:00",2,"KL1310"
"2024-09-16T04:26:10.195Z","Bucharest","OTP","Amsterdam","AMS","2024-09-17T06:05:00.000Z","17/09/2024, 08:05:00",2,"KL1372"
"2024-09-16T04:26:10.194Z","Dallas-Fort Worth","DFW","Amsterdam","AMS","2024-09-17T06:00:00.000Z","17/09/2024, 08:00:00",2,"AA220"
